hotel_id,hotel_name,hotel_url,locality_id,review_count,TA_rating,TA_rank,hotel_features
93623,Trump International Hotel and Tower New York,https://www.tripadvisor.com/Hotel_Review-g60763-d93623-Reviews-Trump_International_Hotel_and_Tower_New_York-New_York_City_New_York.html,60763,1,52,4.5,"Free Wifi, Pool"
217616,Kimpton Muse Hotel,https://www.tripadvisor.com/Hotel_Review-g60763-d217616-Reviews-Kimpton_Muse_Hotel-New_York_City_New_York.html,60763,3,53,4.5,"Free Wifi, Restaurant"
93569,The Belvedere,https://www.tripadvisor.com/Hotel_Review-g60763-d93569-Reviews-The_Belvedere-New_York_City_New_York.html,60763,5,54,4,"Restaurant, Room Service"
1456560,Kimpton Hotel Eventi,https://www.tripadvisor.com/Hotel_Review-g60763-d1456560-Reviews-Kimpton_Hotel_Eventi-New_York_City_New_York.html,60763,3,56,4.5,"Restaurant, Room Service"
93517,Paramount Hotel Times Square New York,https://www.tripadvisor.com/Hotel_Review-g60763-d93517-Reviews-Paramount_Hotel_Times_Square_New_York-New_York_City_New_York.html,60763,4,57,3.5,"Free Wifi, Restaurant"
578305,Residence Inn New York Manhattan/Times Square,https://www.tripadvisor.com/Hotel_Review-g60763-d578305-Reviews-Residence_Inn_New_York_Manhattan_Times_Square-New_York_City_New_York.html,60763,2,59,4.5,"Free Wifi, Breakfast included"
126257,Hotel 31,https://www.tripadvisor.com/Hotel_Review-g60763-d126257-Reviews-Hotel_31-New_York_City_New_York.html,60763,1,60,4,Free Wifi
223024,Hotel Chandler,https://www.tripadvisor.com/Hotel_Review-g60763-d223024-Reviews-Hotel_Chandler-New_York_City_New_York.html,60763,3,61,4.5,"Free Wifi, Restaurant"
1601249,Hilton New York Fashion District,https://www.tripadvisor.com/Hotel_Review-g60763-d1601249-Reviews-Hilton_New_York_Fashion_District-New_York_City_New_York.html,60763,3,62,4,"Free Wifi, Restaurant"
612263,Hotel Mela,https://www.tripadvisor.com/Hotel_Review-g60763-d612263-Reviews-Hotel_Mela-New_York_City_New_York.html,60763,4,64,4,"Free Wifi, Restaurant"
99425,Radisson Martinique on Broadway,https://www.tripadvisor.com/Hotel_Review-g60763-d99425-Reviews-Radisson_Martinique_on_Broadway-New_York_City_New_York.html,60763,4,65,4,"Free Wifi, Restaurant"
1158753,Kimpton Ink48 Hotel,https://www.tripadvisor.com/Hotel_Review-g60763-d1158753-Reviews-Kimpton_Ink48_Hotel-New_York_City_New_York.html,60763,3,66,4.5,"Free Wifi, Restaurant"
93346,Salisbury Hotel,https://www.tripadvisor.com/Hotel_Review-g60763-d93346-Reviews-Salisbury_Hotel-New_York_City_New_York.html,60763,3,67,4,
93561,Soho Grand Hotel,https://www.tripadvisor.com/Hotel_Review-g60763-d93561-Reviews-Soho_Grand_Hotel-New_York_City_New_York.html,60763,2,68,4,"Free Wifi, Restaurant"
93520,Park Central Hotel New York,https://www.tripadvisor.com/Hotel_Review-g60763-d93520-Reviews-Park_Central_Hotel_New_York-New_York_City_New_York.html,60763,4,69,4,"Bar/Lounge, Fitness center"
93526,"The Lexington New York City, Autograph Collection",https://www.tripadvisor.com/Hotel_Review-g60763-d93526-Reviews-The_Lexington_New_York_City_Autograph_Collection-New_York_City_New_York.html,60763,3,71,4,"Restaurant, Bar/Lounge"
234762,the Quin,https://www.tripadvisor.com/Hotel_Review-g60763-d234762-Reviews-The_Quin-New_York_City_New_York.html,60763,2,74,4.5,"Free Wifi, Restaurant"
2253206,TRYP New York City Times Square South,https://www.tripadvisor.com/Hotel_Review-g60763-d2253206-Reviews-TRYP_New_York_City_Times_Square_South-New_York_City_New_York.html,60763,3,75,4.5,"Free Wifi, Restaurant"
217626,The Benjamin,https://www.tripadvisor.com/Hotel_Review-g60763-d217626-Reviews-The_Benjamin-New_York_City_New_York.html,60763,2,76,4.5,"Restaurant, Room Service"
1485961,Andaz Wall Street,https://www.tripadvisor.com/Hotel_Review-g60763-d1485961-Reviews-Andaz_Wall_Street-New_York_City_New_York.html,60763,2,77,4.5,"Free Wifi, Restaurant"
1218720,"The Standard, High Line",https://www.tripadvisor.com/Hotel_Review-g60763-d1218720-Reviews-The_Standard_High_Line-New_York_City_New_York.html,60763,2,78,4,"Free Wifi, Restaurant"
99382,The Marcel at Gramercy,https://www.tripadvisor.com/Hotel_Review-g60763-d99382-Reviews-The_Marcel_at_Gramercy-New_York_City_New_York.html,60763,3,79,4,"Room Service, Bar/Lounge"
1852917,Element New York Times Square West,https://www.tripadvisor.com/Hotel_Review-g60763-d1852917-Reviews-Element_New_York_Times_Square_West-New_York_City_New_York.html,60763,4,80,4,"Free Wifi, Breakfast included"
1762573,Andaz 5th Avenue,https://www.tripadvisor.com/Hotel_Review-g60763-d1762573-Reviews-Andaz_5th_Avenue-New_York_City_New_York.html,60763,2,81,4.5,"Free Wifi, Restaurant"
80110,The Roger,https://www.tripadvisor.com/Hotel_Review-g60763-d80110-Reviews-The_Roger-New_York_City_New_York.html,60763,2,82,4,"Free Wifi, Restaurant"
1888977,The Pearl Hotel,https://www.tripadvisor.com/Hotel_Review-g60763-d1888977-Reviews-The_Pearl_Hotel-New_York_City_New_York.html,60763,2,83,4.5,"Free Wifi, Breakfast included"
93516,Novotel New York Times Square,https://www.tripadvisor.com/Hotel_Review-g60763-d93516-Reviews-Novotel_New_York_Times_Square-New_York_City_New_York.html,60763,5,84,4.5,"Restaurant, Room Service"
